           2 ;  0.000000000000000000000000000000000E+0000 
           3 ;  7.450580610801615932814456755295396E-0009 
           4 ;  5.551115123125782702118158340454102E-0017 
           5 ;  7.450580569168252509371086489409208E-0009 
           6 ;  1.064368658685945133259208107899342E-0008 
           7 ;  2.048909672480725419063674053177238E-0008 
           8 ;  2.467162276944792312052514817979601E-0017 
           9 ;  8.195638689922901676254696212708950E-0009 
          10 ;  9.618022172888904011952862757342782E-0009 
          11 ;  1.422383574464780586765755288070068E-0008 
          12 ;  1.203555334988299235349656485665876E-0008 
          13 ;  1.649771426712584191217761794437787E-0008 
          14 ;  2.135833134797593402254278771579265E-0008 
          15 ;  2.561137079932357396572228935838211E-0008 
          16 ;  3.265361837132813354187151964973001E-0017 
          17 ;  8.899304659705355015199125369286371E-0009 
          18 ;  9.476615560990559198504151457822636E-0009 
          19 ;  9.548507245299431289708991243969649E-0009 
          20 ;  1.046629178298664171398697709221215E-0008 
          21 ;  9.313225436743197895659498251254925E-0009 
          22 ;  1.501895741891658685596627512258356E-0008 
          23 ;  1.125010713956311099911052527507612E-0008 
          24 ;  1.266598721544331951349704468157142E-0008 
          25 ;  1.343396974752019391329528074353360E-0008 
          26 ;  1.786228946647154484876578121825501E-0008 
          27 ;  9.973528586090003272041875399216743E-0009 
          28 ;  2.196636734050828637080109007817147E-0008 
          29 ;  9.844186639000144604475887414688866E-0009 
          30 ;  2.583669094372647596779027099405686E-0008 
          31 ;  1.634320886934569061477162676965236E-0008 
          32 ;  1.286534010638072025110225447199561E-0015 
          33 ;  1.614956435267858428851602237794877E-0008 
          34 ;  9.601231348656456633859436676305319E-0009 
          35 ;  9.675406586835842858028576706096324E-0009 
          36 ;  9.950888025646572028744525891237867E-0009 
          37 ;  1.325710498323307007240146049298346E-0008 
          38 ;  9.768203911696387419210506591181725E-0009 
          39 ;  9.825453916104120999364113231422379E-0009 
          40 ;  1.082151382485287375761633550765265E-0008 
          41 ;  1.763131074761688695436608516805184E-0008 
          42 ;  1.129344609375180632607786064063264E-0008 
          43 ;  1.007915496456260581484540042848411E-0008 
          44 ;  1.515703966071936371741281214377118E-0008 
          45 ;  9.677656354052836022414952743059510E-0009 
          46 ;  1.152910196714225185495648629705798E-0008 
          47 ;  1.866525754023902009907468861153272E-0008 
          48 ;  1.296249121412394761943214318159093E-0008 
          49 ;  1.190040217528831600901639831135981E-0008 
          50 ;  1.370906798926518246078638399280060E-0008 
          51 ;  1.486534109142125718113683993019199E-0008 
          52 ;  1.821823780690533376352444940734268E-0008 
          53 ;  1.132425792380916714826618637609364E-0008 
          54 ;  1.020503797388211902392123936971819E-0008 
          55 ;  1.478928175243455053359095277950733E-0008 
          56 ;  2.231906427833331989936077502135416E-0008 
          57 ;  9.907063513967165240040716965048542E-0009 
          58 ;  9.957694515877656961683665724842162E-0009 
          59 ;  9.649448964229682494201748947186085E-0009 
          60 ;  2.610756858475367347414360620695945E-0008 
          61 ;  2.643754531121924170492782709076099E-0008 
          62 ;  1.623638973076589763088072181239517E-0008 
          63 ;  2.884189671391746562223445948802691E-0008 
          64 ;  1.791542341828416668319662746328574E-0015 
          65 ;  9.637777103666188997998391862369537E-0009 
          66 ;  1.585143703341565223137144157454483E-0008 
          67 ;  1.272105672557180381311488471350030E-0008 
          68 ;  9.853916894912737718328387110386098E-0009 
          69 ;  1.187156668272317171032779827198413E-0008 
          70 ;  1.000843816831181028123224473027119E-0008 
          71 ;  1.188420018554908598308451751614080E-0008 
          72 ;  1.014248547596031623134870779435852E-0008 
          73 ;  1.012214179218683456411624959130406E-0008 
          74 ;  1.298112661326141411185138470803698E-0008 
          75 ;  1.321072804074206960410121705775198E-0008 
          76 ;  1.001092244031429947180091497917696E-0008 
          77 ;  9.756557650595226300210400110630031E-0009 
          78 ;  1.078683847511754277641779181873131E-0008 
          79 ;  1.391516904923270625538123113074107E-0008 
          80 ;  1.098040851220257233766682317910176E-0008 
          81 ;  1.042655038271386115610886097384515E-0008 
          82 ;  1.856952791369526201672366062348922E-0008 
          83 ;  1.841806277938126943477790237444597E-0008 
          84 ;  1.193918844966847819473046269302037E-0008 
          85 ;  9.778885696898428580350699036877581E-0009 
          86 ;  1.000530734001649484646716063116923E-0008 
          87 ;  9.805162467784531912038594534599477E-0009 
          88 ;  1.527787581649550797068746413040142E-0008 
          89 ;  1.043046401753535936920671803010110E-0008 
          90 ;  1.227094276619414189946530394001536E-0008 
          91 ;  9.870001392877346824622256225784835E-0009 
          92 ;  1.171881460236720961479012882875239E-0008 
          93 ;  9.748205554625208974058184739601045E-0009 
          94 ;  1.945973923046284108289383814400552E-0008 
          95 ;  2.076788477474444949422149875317700E-0008 
          96 ;  1.310572428591568990280219876104198E-0008 
          97 ;  1.093829475020966116650927279825199E-0008 
          98 ;  1.250306835821680235887993837946631E-0008 
          99 ;  9.824136161604851702477958497183863E-0009 
         100 ;  1.358808836574571021210633964326214E-0008 
         101 ;  1.201326597807656155845669601666148E-0008 
         102 ;  1.696007156490872494831216844105053E-0008 
         103 ;  1.045599066752466956329816237205075E-0008 
         104 ;  1.848385557390308520098187727853656E-0008 
         105 ;  1.686044964108454770623162180269884E-0008 
         106 ;  1.134994824532124062646142906530012E-0008 
         107 ;  1.654846735638697531857712032500853E-0008 
         108 ;  1.031132153144084922712252575048639E-0008 
         109 ;  2.183162447790051106302009677826639E-0008 
         110 ;  1.580289029547380044940732782502105E-0008 
         111 ;  1.361924488661538288982098622779761E-0008 
         112 ;  2.250834278449768143081707896384518E-0008 
         113 ;  9.840410687917513616066631393072098E-0009 
